handleId,fieldType,Name,Price,SKU,Image,Description,Brand,Colorway,InStock
gel-quantum-180-7-'black-pure-silver',Product,Gel Quantum 180 7 'Black Pure Silver',130.00,1201A883-005,https://image.goat.com/attachments/product_template_pictures/images/094/308/039/original/1201A883_005.png.png,,ASICS,Black/Pure Silver,in_stock
asics-ex89-imbari-pack-fujitaka-towel,Product,ASICS EX89 Imbari Pack Fujitaka Towel,150.00,1203A256-100,https://image.goat.com/attachments/product_template_pictures/images/094/328/322/original/1203A256_100.png.png,,ASICS,White/White,in_stock
asics-gel-nyc-imbari-pack-fujitaka-towel,Product,ASICS Gel-NYC Imbari Pack Fujitaka Towel,170.00,1203A308-400,https://image.goat.com/attachments/product_template_pictures/images/094/676/178/original/1300725_00.png.png,,ASICS,French Blue/Grand Shark,in_stock
wmns-japan-s-'white-mineral-beige',Product,Wmns Japan S 'White Mineral Beige',75.00,1202A118-120,https://image.goat.com/attachments/product_template_pictures/images/094/270/860/original/1202A118_120.png.png,,ASICS,White/Mineral Beige,in_stock
comme-des-garçons-shirt-x-ex89-'white',Product,Comme Des Garçons SHIRT x EX89 'White',420.00,FL-K101-W23-2,https://image.goat.com/attachments/product_template_pictures/images/094/153/620/original/CDG_EX89_WHT.png.png,"The Comme Des Garçons SHIRT x ASICS EX89 ‘White’ presents a collaborative take on a lifestyle model inspired by the GEL-EXTREME, a vintage hoops shoe from 1989. The low-top sports a white leather upper, contrasted by a crimson textile lining and navy side stripes outlined in red trim. Dual branding decorates the woven tongue tag and sockliner. The sneaker sits atop an updated rubber cupsole, featuring vintage off-white sidewalls and an interior foam wedge built with ASICS’ FF BLAST foam.",ASICS,,in_stock
comme-des-garçons-shirt-x-ex89-'navy'-1,Product,Comme Des Garçons SHIRT x EX89 'Navy',420.00,FL-K101-W23-1,https://image.goat.com/attachments/product_template_pictures/images/094/153/619/original/CDG_EX89_BLU.png.png,"The Comme Des Garçons SHIRT x ASICS EX89 ‘Navy’ reunites the partner brands on a lifestyle silhouette inspired by the GEL-EXTREME basketball shoe from 1989. The upper is crafted from navy leather with contrasting white side stripes outlined in red trim. Additional scarlet accents land on the interior lining, molded eyelets, and external heel counter. Dual ASICS and CDG SHIRT branding appears on the woven tongue tag and sockliner. Underfoot, the multicolor rubber outsole features a traction pattern inspired by the view of a city from the sky.",ASICS,,in_stock
comme-des-garçons-shirt-x-ex89-'navy',Product,Comme Des Garçons SHIRT x EX89 'Navy',420.00,CDG-EX89-BLU,https://image.goat.com/attachments/product_template_pictures/images/094/153/619/original/CDG_EX89_BLU.png.png,"The Comme Des Garçons SHIRT x ASICS EX89 ‘Navy’ reunites the partner brands on a lifestyle silhouette inspired by the GEL-EXTREME basketball shoe from 1989. The upper is crafted from navy leather with contrasting white side stripes outlined in red trim. Additional scarlet accents land on the interior lining, molded eyelets, and external heel counter. Dual ASICS and CDG SHIRT branding appears on the woven tongue tag and sockliner. Underfoot, the multicolor rubber outsole features a traction pattern inspired by the view of a city from the sky.",ASICS,,in_stock
comme-des-garçons-shirt-x-ex89-'white'-1,Product,Comme Des Garçons SHIRT x EX89 'White',420.00,CDG-EX89-WHT,https://image.goat.com/attachments/product_template_pictures/images/094/153/620/original/CDG_EX89_WHT.png.png,"The Comme Des Garçons SHIRT x ASICS EX89 ‘White’ presents a collaborative take on a lifestyle model inspired by the GEL-EXTREME, a vintage hoops shoe from 1989. The low-top sports a white leather upper, contrasted by a crimson textile lining and navy side stripes outlined in red trim. Dual branding decorates the woven tongue tag and sockliner. The sneaker sits atop an updated rubber cupsole, featuring vintage off-white sidewalls and an interior foam wedge built with ASICS’ FF BLAST foam.",ASICS,,in_stock
noosa-tri-15-'avant-garde---fast-&-flurry',Product,Noosa Tri 15 'Avant Garde - Fast & Flurry',130.00,1011B839-400,https://image.goat.com/attachments/product_template_pictures/images/093/875/973/original/1011B839_400.png.png,,ASICS,Soothing Sea/Thunder Blue,in_stock
wmns-noosa-tri-15-'avant-garde---fast-&-flurry',Product,Wmns Noosa Tri 15 'Avant Garde - Fast & Flurry',130.00,1012B644-400,https://image.goat.com/attachments/product_template_pictures/images/093/875/980/original/1012B644_400.png.png,,ASICS,Soothing Sea/Thunder Blue,in_stock
gt-1000-12-lite-show-'black-pure-silver',Product,GT 1000 12 Lite-Show 'Black Pure Silver',110.00,1011B762-001,https://image.goat.com/attachments/product_template_pictures/images/093/875/969/original/1011B762_001.png.png,,ASICS,Black/Pure Silver,in_stock
gel-kayano-30-lite-show-'black-pure-silver',Product,Gel Kayano 30 Lite-Show 'Black Pure Silver',170.00,1011B765-001,https://image.goat.com/attachments/product_template_pictures/images/093/875/970/original/1011B765_001.png.png,,ASICS,Black/Pure Silver,in_stock
noosa-tri-15-limited-edition-'avant-garde---skull',Product,Noosa Tri 15 Limited Edition 'Avant Garde - Skull',130.00,1011B811-001,https://image.goat.com/attachments/product_template_pictures/images/093/875/972/original/1011B811_001.png.png,,ASICS,Black/Island Blue,in_stock
gt-2000-12-lite-show-'black-pure-silver',Product,GT 2000 12 Lite-Show 'Black Pure Silver',150.00,1011B766-001,https://image.goat.com/attachments/product_template_pictures/images/093/875/971/original/1011B766_001.png.png,,ASICS,Black/Pure Silver,in_stock
wmns-gel-kayano-30-lite-show-'black-pure-silver',Product,Wmns Gel Kayano 30 Lite-Show 'Black Pure Silver',170.00,1012B576-001,https://image.goat.com/attachments/product_template_pictures/images/093/875/976/original/1012B576_001.png.png,,ASICS,Black/Pure Silver,in_stock
gel-cumulus-25-lite-show-'black-pure-silver',Product,Gel Cumulus 25 Lite-Show 'Black Pure Silver',150.00,1011B752-001,https://image.goat.com/attachments/product_template_pictures/images/093/875/967/original/1011B752_001.png.png,,ASICS,Black/Pure Silver,in_stock
wmns-noosa-tri-15-limited-edition-'avant-garde---s,Product,Wmns Noosa Tri 15 Limited Edition 'Avant Garde - Skull',130.00,1012B619-001,https://image.goat.com/attachments/product_template_pictures/images/093/875/979/original/1012B619_001.png.png,,ASICS,Black/Island Blue,in_stock
wmns-gel-cumulus-25-lite-show-'black-pure-silver',Product,Wmns Gel Cumulus 25 Lite-Show 'Black Pure Silver',150.00,1012B565-001,https://image.goat.com/attachments/product_template_pictures/images/093/875/975/original/1012B565_001.png.png,,ASICS,Black/Pure Silver,in_stock
wmns-gt-2000-12-lite-show-'black-pure-silver',Product,Wmns GT 2000 12 Lite-Show 'Black Pure Silver',150.00,1012B578-001,https://image.goat.com/attachments/product_template_pictures/images/093/875/978/original/1012B578_001.png.png,,ASICS,Black/Pure Silver,in_stock
wmns-gt-1000-12-lite-show-'black-pure-silver',Product,Wmns GT 1000 12 Lite-Show 'Black Pure Silver',110.00,1012B573-001,https://image.goat.com/attachments/product_template_pictures/images/093/920/864/original/1012B573_001.png.png,,ASICS,Black/Pure Silver,in_stock
asics-gel-quantum-360-vii-pace-the-brismo,Product,ASICS Gel-Quantum 360 VII Pace The Brismo,220.00,1201A903-100,https://image.goat.com/attachments/product_template_pictures/images/093/683/311/original/PACE_QNTM_BRISMO.png.png,,ASICS,Cream/Black,in_stock
asics-gel-nyc-bodega-after-hours,Product,ASICS Gel-NYC Bodega After-Hours,180.00,1201A952-020,https://image.goat.com/attachments/product_template_pictures/images/093/746/299/original/1286042_00.png.png,"The Bodega x ASICS GEL NYC ‘After-Hours’ showcases a subdued palette inspired by city living after the sun goes down. The lifestyle running shoe features a chain link-inspired mesh upper, fortified with nubuck and suede overlays in Plum Truffle and Mole. Translucent tiger stripes adorn the lateral quarter panel, while Bodega branding in Blazing Coral appears on the lateral heel. Contrasting pops of color arrive via a diamond knit collar lining in Patrician Purple and a suede back tab in Caliste Green. The sneaker sits atop a lightweight EVA midsole with glittery GEL pods in the forefoot and heel.",ASICS,Drizzle/Plum Truffle,in_stock
pace-x-gel-quantum-360-7-'the-brismo',Product,PACE x Gel Quantum 360 7 'The Brismo',220.00,PACE-QNTM-BRISMO,https://image.goat.com/attachments/product_template_pictures/images/093/683/311/original/PACE_QNTM_BRISMO.png.png,,ASICS,Cream/Black,in_stock
asics-gel-1130-cream-kale,Product,ASICS Gel-1130 Cream Kale,95.00,1201A974-100,https://image.goat.com/attachments/product_template_pictures/images/093/519/253/original/1275220_00.png.png,"The ASICS GEL 1130 ‘Cream Kale’ dresses the lifestyle runner in an airy off-white mesh upper with synthetic overlays in a metallic silver finish. Lush green accents land on the signature side stripes and padded textile lining, along with ASICS branding hits on the tongue and sockliner. Lightweight cushioning is provided by a crisp white EVA midsole, fitted with ASICS’ TRUSSTIC system for midfoot stability and a GEL insert in the heel for impact protection.",ASICS,Cream/Kale,in_stock
asics-gel-nyc-cream-kale,Product,ASICS Gel-NYC Cream Kale,130.00,1201A971-200,https://image.goat.com/attachments/product_template_pictures/images/093/829/354/original/1275218_00.png.png,"The ASICS GEL NYC ‘Cream Kale’ features an upper inspired by the GEL-NIMBUS 3 and GEL-MC PLUS V, highlighted by off-white mesh with leather overlays in a gleaming metallic silver finish — a familiar detail that references ASICS running style from the early 2000s. Green trim outlines the signature side stripes, matching the shoe’s eyelets and branding hits. A lightweight EVA midsole, borrowed from the GEL-CUMULUS 16, packs GEL cushioning in the forefoot and heel for a smooth and comfortable ride.",ASICS,Birch/Pure Silver,in_stock
gel-lyte-3-cm-1.95-'cream-glacier-grey',Product,Gel Lyte 3 CM 1.95 'Cream Glacier Grey',150.00,1203A409-100,https://image.goat.com/attachments/product_template_pictures/images/093/161/535/original/1203A409_100.png.png,,ASICS,Cream/Glacier Grey,in_stock
asics-gel-kayano-legacy-gmbh-white-black,Product,ASICS Gel-Kayano Legacy GmbH White Black,190.00,1203A350-100,https://image.goat.com/attachments/product_template_pictures/images/094/139/097/original/1272729_00.png.png,,ASICS,White/Black,in_stock
asics-gel-kayano-legacy-gmbh-cilantro-wood-crepe,Product,ASICS Gel-Kayano Legacy GmbH Cilantro Wood Crepe,190.00,1203A350-300,https://image.goat.com/attachments/product_template_pictures/images/095/077/962/original/1272728_00.png.png,,ASICS,Cilantro/Wood Crepe,in_stock
